Membership No  Date Joined  Active  
    50952      2015-10-23   no    
    66624      2017-7-22    no    
    83948      2016-6-13    no    
    96842      2020-1-5     no    

    80612      2020-1-16    no    

    85930      2017-11-22   no    

    34124      2020-7-6     no    

    30008      2015-6-6     no    

    69331      2019-12-2    no    

    31936      2020-2-1     no    

    52995      2020-7-16    no    

    54763      2019-10-24   no    

    49229      2016-7-3     no    
    91741      2017-9-14    no    
    54391      2016-10-20   no    
    36729      2019-6-13    no    
    91741      2017-9-14    no    
    69331      2019-12-2    no    
    54391      2016-10-20   no    
    31936      2020-2-1     no    
    52995      2020-7-16    no    
    36729      2019-6-13    no    
    54763      2019-10-24   no    
  36729      2019-6-13    no    
    91741      2017-9-14    no    
    69331      2019-12-2    no    
    54391      2016-10-20   no    
    31936      2020-2-1     no    
    52995      2020-7-16    no    
    36729      2019-6-13    no    
    54763      2019-10-24   no    
